match_id,home_dispossessed,away_dispossessed,home_duels,away_duels,home_ground_duels,away_ground_duels,home_aerial_duels,away_aerial_duels,home_dribbles,away_dribbles
12610363,7,7,41%,59%,31/72 (43%),41/72 (57%),12/33 (36%),21/33 (64%),7/16 (44%),8/15 (53%)
12940698,3,3,60%,40%,26/51 (51%),25/51 (49%),26/35 (74%),9/35 (26%),1/12 (8%),7/17 (41%)
12903507,5,9,36%,42%,36/108 (33%),42/113 (37%),16/36 (44%),22/36 (61%),13/15 (87%),15/19 (79%)
12868606,6,9,35%,37%,43/134 (32%),46/133 (35%),21/47 (45%),22/46 (48%),17/34 (50%),17/32 (53%)
12753012,2,8,54%,46%,28/44 (64%),16/44 (36%),4/15 (27%),11/15 (73%),3/9 (33%),1/4 (25%)
12753024,9,11,56%,44%,32/57 (56%),25/57 (44%),8/14 (57%),6/14 (43%),1/4 (25%),2/7 (29%)
12753036,3,6,49%,51%,28/58 (48%),30/58 (52%),7/14 (50%),7/14 (50%),1/10 (10%),5/18 (28%)
13019043,5,3,36%,35%,36/111 (32%),42/112 (38%),10/14 (71%),3/14 (21%),17/20 (85%),15/21 (71%)
12425088,4,2,34%,35%,41/115 (36%),35/113 (31%),10/31 (32%),17/35 (49%),14/19 (74%),12/15 (80%)
13008779,13,1,45%,55%,26/69 (38%),43/69 (62%),19/32 (59%),13/32 (41%),6/17 (35%),5/11 (45%)
13019046,8,9,51%,49%,33/60 (55%),27/60 (45%),11/27 (41%),16/27 (59%),3/10 (30%),1/7 (14%)
13029521,9,8,38%,35%,43/117 (37%),39/117 (33%),13/27 (48%),13/29 (45%),14/23 (61%),11/18 (61%)
13041742,3,13,31%,42%,24/79 (30%),27/80 (34%),9/27 (33%),18/27 (67%),5/9 (56%),6/6 (100%)
12497319,12,4,37%,32%,34/107 (32%),32/108 (30%),19/33 (58%),13/29 (45%),20/26 (77%),12/21 (57%)
12497311,5,9,38%,35%,57/154 (37%),50/150 (33%),13/28 (46%),14/30 (47%),13/15 (87%),24/31 (77%)
12497305,11,15,32%,37%,41/127 (32%),40/128 (31%),11/31 (35%),20/32 (63%),10/13 (77%),9/10 (90%)
11989123,6,4,31%,43%,32/131 (24%),63/134 (47%),24/45 (53%),14/43 (33%),9/15 (60%),30/39 (77%)
11989126,3,4,42%,37%,28/74 (38%),26/83 (31%),29/61 (48%),31/68 (46%),12/16 (75%),9/11 (82%)
12651004,6,9,39%,38%,36/100 (36%),38/100 (38%),8/11 (73%),6/14 (43%),18/23 (78%),11/15 (73%)
12598355,10,9,40%,40%,54/135 (40%),48/136 (35%),18/43 (42%),26/49 (53%),20/28 (71%),13/15 (87%)
12085469,11,13,31%,42%,43/158 (27%),66/164 (40%),20/42 (48%),21/43 (49%),10/15 (67%),17/22 (77%)
12963291,4,7,32%,31%,22/80 (28%),22/81 (27%),10/19 (53%),9/18 (50%),7/8 (88%),8/17 (47%)
13023452,6,6,28%,43%,38/146 (26%),73/178 (41%),12/32 (38%),19/32 (59%),10/13 (77%),37/46 (80%)
12448840,5,7,44%,30%,47/107 (44%),25/106 (24%),18/40 (45%),20/43 (47%),26/31 (84%),7/10 (70%)
12518416,7,12,60%,40%,32/53 (60%),21/53 (40%),8/14 (57%),6/14 (43%),0/3 (0%),0/3 (0%)
12522419,8,5,58%,42%,50/91 (55%),41/91 (45%),17/24 (71%),7/24 (29%),21/46 (46%),4/16 (25%)
13019039,4,13,60%,40%,41/70 (59%),29/70 (41%),12/19 (63%),7/19 (37%),16/24 (67%),4/8 (50%)
12923109,8,4,46%,54%,25/57 (44%),32/57 (56%),8/14 (57%),6/14 (43%),9/14 (64%),7/14 (50%)
12923104,9,9,50%,50%,37/77 (48%),40/77 (52%),8/13 (62%),5/13 (38%),9/14 (64%),15/26 (58%)
12923103,18,8,46%,54%,44/91 (48%),47/91 (52%),7/19 (37%),12/19 (63%),7/20 (35%),9/25 (36%)
12923107,5,4,45%,55%,33/75 (44%),42/75 (56%),8/16 (50%),8/16 (50%),13/23 (57%),18/25 (72%)
12923108,6,10,49%,51%,37/69 (54%),32/69 (46%),4/14 (29%),10/14 (71%),6/15 (40%),11/21 (52%)
12923105,2,5,55%,45%,36/72 (50%),36/72 (50%),17/24 (71%),7/24 (29%),10/23 (43%),11/21 (52%)
12473120,7,6,39%,39%,27/89 (30%),31/88 (35%),35/69 (51%),30/65 (46%),11/16 (69%),9/12 (75%)
12473122,10,11,43%,38%,36/96 (38%),32/95 (34%),26/45 (58%),22/46 (48%),11/15 (73%),7/11 (64%)
12473125,4,9,45%,34%,37/99 (37%),34/102 (33%),35/59 (59%),19/53 (36%),18/23 (78%),17/19 (89%)
12246985,8,8,31%,41%,33/120 (28%),47/116 (41%),12/22 (55%),10/23 (43%),14/25 (56%),12/15 (80%)
12199061,2,3,39%,38%,39/114 (34%),37/113 (33%),32/65 (49%),34/70 (49%),21/26 (81%),9/12 (75%)
12767356,8,8,32%,38%,33/122 (27%),48/133 (36%),16/29 (55%),15/31 (48%),14/27 (52%),11/21 (52%)
12767360,7,9,32%,43%,52/170 (31%),55/143 (38%),23/63 (37%),34/60 (57%),22/37 (59%),21/28 (75%)
12767375,7,11,43%,30%,46/124 (37%),33/126 (26%),25/41 (61%),17/40 (43%),18/24 (75%),8/12 (67%)
12767362,9,6,31%,40%,32/141 (23%),58/143 (41%),31/62 (50%),25/60 (42%),9/19 (47%),18/21 (86%)
12767354,8,12,37%,32%,59/166 (36%),50/173 (29%),21/46 (46%),21/44 (48%),14/25 (56%),14/21 (67%)
13014313,9,13,64%,36%,43/66 (65%),23/66 (35%),6/10 (60%),4/10 (40%),13/16 (81%),4/10 (40%)
13014305,3,6,44%,56%,30/67 (45%),37/67 (55%),2/5 (40%),3/5 (60%),7/15 (47%),7/10 (70%)
13023005,8,9,47%,53%,30/71 (42%),41/71 (58%),10/15 (67%),5/15 (33%),8/20 (40%),11/15 (73%)
13006575,10,18,55%,45%,37/74 (50%),37/74 (50%),17/25 (68%),8/25 (32%),9/20 (45%),10/14 (71%)
13005422,9,12,49%,51%,41/83 (49%),42/83 (51%),4/9 (44%),5/9 (56%),11/20 (55%),11/22 (50%)
13005420,10,12,51%,49%,45/87 (52%),42/87 (48%),7/14 (50%),7/14 (50%),9/16 (56%),18/30 (60%)
13006576,9,4,47%,53%,33/69 (48%),36/69 (52%),7/16 (44%),9/16 (56%),11/24 (46%),5/12 (42%)
13005427,15,15,44%,56%,32/69 (46%),37/69 (54%),3/11 (27%),8/11 (73%),1/9 (11%),11/17 (65%)
13045718,2,15,55%,45%,39/68 (57%),29/68 (43%),15/31 (48%),16/31 (52%),10/20 (50%),3/9 (33%)
13009004,2,7,61%,39%,25/41 (61%),16/41 (39%),12/20 (60%),8/20 (40%),11/20 (55%),1/3 (33%)
12499348,7,9,56%,44%,40/73 (55%),33/73 (45%),21/36 (58%),15/36 (42%),6/11 (55%),6/13 (46%)
12499354,10,10,53%,47%,44/83 (53%),39/83 (47%),15/28 (54%),13/28 (46%),9/18 (50%),7/12 (58%)
12499355,4,15,49%,51%,40/78 (51%),38/78 (49%),8/20 (40%),12/20 (60%),9/24 (38%),5/15 (33%)
12499350,7,5,45%,55%,25/52 (48%),27/52 (52%),10/26 (38%),16/26 (62%),3/10 (30%),3/8 (38%)
12499357,11,8,51%,49%,36/72 (50%),36/72 (50%),15/28 (54%),13/28 (46%),9/15 (60%),10/19 (53%)
12499347,11,9,50%,50%,38/77 (49%),39/77 (51%),15/28 (54%),13/28 (46%),10/19 (53%),6/14 (43%)
12499353,8,7,58%,42%,36/60 (60%),24/60 (40%),12/23 (52%),11/23 (48%),15/18 (83%),6/16 (38%)
12900855,10,9,50%,50%,44/89 (49%),45/89 (51%),12/24 (50%),12/24 (50%),8/17 (47%),12/25 (48%)
12970179,10,8,46%,54%,28/56 (50%),28/56 (50%),8/22 (36%),14/22 (64%),1/3 (33%),8/18 (44%)
12970160,8,13,55%,45%,45/82 (55%),37/82 (45%),17/31 (55%),14/31 (45%),6/15 (40%),5/13 (38%)
12970153,17,8,52%,48%,45/84 (54%),39/84 (46%),12/25 (48%),13/25 (52%),9/11 (82%),13/32 (41%)
12970192,13,7,43%,57%,42/89 (47%),47/89 (53%),3/16 (19%),13/16 (81%),4/10 (40%),11/33 (33%)
12970193,3,4,61%,39%,27/41 (66%),14/41 (34%),12/23 (52%),11/23 (48%),6/7 (86%),4/9 (44%)
12970166,13,16,52%,48%,42/76 (55%),34/76 (45%),3/11 (27%),8/11 (73%),2/3 (67%),7/16 (44%)
12970187,11,7,45%,55%,26/58 (45%),32/58 (55%),3/7 (43%),4/7 (57%),7/12 (58%),10/15 (67%)
12970142,4,3,51%,48%,19/41 (46%),21/41 (51%),12/20 (60%),8/20 (40%),7/13 (54%),4/9 (44%)
12970163,4,11,51%,49%,36/69 (52%),33/69 (48%),4/10 (40%),6/10 (60%),9/15 (60%),9/15 (60%)
12970188,9,10,39%,61%,29/66 (44%),37/66 (56%),0/9 (0%),9/9 (100%),1/9 (11%),3/8 (38%)
12970174,13,10,45%,55%,25/58 (43%),33/58 (57%),8/16 (50%),8/16 (50%),3/5 (60%),5/9 (56%)
12970139,6,7,46%,53%,32/65 (49%),32/64 (50%),10/26 (38%),16/26 (62%),5/11 (45%),11/18 (61%)
12970147,2,7,53%,47%,22/41 (54%),19/41 (46%),3/6 (50%),3/6 (50%),3/7 (43%),4/8 (50%)
12970161,4,5,44%,56%,29/61 (48%),32/61 (52%),3/11 (27%),8/11 (73%),4/9 (44%),15/24 (63%)
12970156,5,13,61%,39%,31/53 (58%),22/53 (42%),6/8 (75%),2/8 (25%),5/14 (36%),2/8 (25%)
12375376,6,4,45%,55%,31/64 (48%),33/64 (52%),19/48 (40%),29/48 (60%),5/15 (33%),8/17 (47%)
12375375,5,3,42%,58%,22/47 (47%),25/47 (53%),20/52 (38%),32/52 (62%),7/13 (54%),3/4 (75%)
12378099,9,6,46%,54%,28/62 (45%),34/62 (55%),19/41 (46%),22/41 (54%),6/19 (32%),5/16 (31%)
12774386,8,5,50%,50%,36/73 (49%),37/73 (51%),15/30 (50%),15/30 (50%),8/16 (50%),7/18 (39%)
12946553,10,12,44%,56%,34/83 (41%),49/83 (59%),14/27 (52%),13/27 (48%),8/24 (33%),11/17 (65%)
12477076,8,9,45%,55%,28/62 (45%),34/62 (55%),13/29 (45%),16/29 (55%),8/16 (50%),6/10 (60%)
12477077,4,8,46%,54%,27/58 (47%),31/58 (53%),25/55 (45%),30/55 (55%),6/16 (38%),7/9 (78%)
12477074,5,6,47%,53%,27/60 (45%),33/60 (55%),24/48 (50%),24/48 (50%),3/14 (21%),3/12 (25%)
12477073,8,2,55%,45%,42/74 (57%),32/74 (43%),22/42 (52%),20/42 (48%),12/18 (67%),10/26 (38%)
12477071,7,12,47%,53%,35/74 (47%),39/74 (53%),16/34 (47%),18/34 (53%),6/19 (32%),5/15 (33%)
12477075,16,14,49%,51%,42/88 (48%),46/88 (52%),17/32 (53%),15/32 (47%),6/16 (38%),14/18 (78%)
12904468,3,5,60%,40%,25/44 (57%),19/44 (43%),10/14 (71%),4/14 (29%),3/9 (33%),6/12 (50%)
12904463,10,3,51%,49%,26/54 (48%),28/54 (52%),15/27 (56%),12/27 (44%),8/15 (53%),2/8 (25%)
12904464,7,10,59%,41%,47/78 (60%),31/78 (40%),5/10 (50%),5/10 (50%),19/25 (76%),10/17 (59%)
12904462,21,4,45%,55%,37/83 (45%),46/83 (55%),12/25 (48%),13/25 (52%),11/25 (44%),5/12 (42%)
12904466,13,8,50%,50%,25/54 (46%),29/54 (54%),14/24 (58%),10/24 (42%),5/11 (45%),2/10 (20%)
12928319,6,8,48%,52%,32/64 (50%),32/64 (50%),3/9 (33%),6/9 (67%),8/16 (50%),7/9 (78%)
12904467,9,9,43%,57%,28/65 (43%),37/65 (57%),8/19 (42%),11/19 (58%),8/13 (62%),12/19 (63%)
12904469,8,7,39%,61%,27/63 (43%),36/63 (57%),4/17 (24%),13/17 (76%),3/6 (50%),9/20 (45%)
12773665,10,9,53%,47%,30/61 (49%),31/61 (51%),12/18 (67%),6/18 (33%),6/12 (50%),4/11 (36%)
12773646,10,14,51%,49%,42/76 (55%),34/76 (45%),11/28 (39%),17/28 (61%),4/13 (31%),9/19 (47%)
12773642,6,7,51%,49%,24/50 (48%),26/50 (52%),18/32 (56%),14/32 (44%),4/11 (36%),5/10 (50%)
12791854,8,11,56%,44%,26/49 (53%),23/49 (47%),14/23 (61%),9/23 (39%),6/13 (46%),3/5 (60%)
12773671,8,8,55%,45%,41/76 (54%),35/76 (46%),17/30 (57%),13/30 (43%),4/10 (40%),8/25 (32%)
12791853,6,10,52%,48%,35/74 (47%),39/74 (53%),23/38 (61%),15/38 (39%),5/18 (28%),6/11 (55%)
12773663,7,11,52%,48%,35/73 (48%),38/73 (52%),16/26 (62%),10/26 (38%),7/18 (39%),9/14 (64%)
12773652,10,6,47%,53%,38/86 (44%),48/86 (56%),14/25 (56%),11/25 (44%),3/15 (20%),8/20 (40%)
12773674,5,3,48%,52%,31/57 (54%),26/57 (46%),9/26 (35%),17/26 (65%),10/17 (59%),8/12 (67%)
12773668,10,9,45%,55%,31/77 (40%),46/77 (60%),15/25 (60%),10/25 (40%),9/21 (43%),6/9 (67%)
12773662,4,4,52%,48%,24/46 (52%),22/46 (48%),22/43 (51%),21/43 (49%),6/9 (67%),9/13 (69%)
12773670,6,6,53%,47%,24/52 (46%),28/52 (54%),22/34 (65%),12/34 (35%),4/10 (40%),3/8 (38%)
12773643,14,12,46%,54%,36/79 (46%),43/79 (54%),6/12 (50%),6/12 (50%),2/4 (50%),11/23 (48%)
12773661,1,8,57%,43%,30/49 (61%),19/49 (39%),18/35 (51%),17/35 (49%),3/5 (60%),8/15 (53%)
12773672,17,15,48%,52%,53/99 (54%),46/99 (46%),16/46 (35%),30/46 (65%),12/19 (63%),12/22 (55%)
12773664,5,13,62%,38%,33/59 (56%),26/59 (44%),16/20 (80%),4/20 (20%),5/7 (71%),4/11 (36%)
12924425,15,4,50%,50%,44/97 (45%),53/97 (55%),31/52 (60%),21/52 (40%),7/27 (26%),6/20 (30%)
12924407,2,2,65%,35%,24/34 (71%),10/34 (29%),17/29 (59%),12/29 (41%),3/3 (100%),0/3 (0%)
12924421,23,10,47%,53%,34/79 (43%),45/79 (57%),13/21 (62%),8/21 (38%),10/10 (100%),8/15 (53%)
12924416,8,6,52%,48%,41/81 (51%),40/81 (49%),14/25 (56%),11/25 (44%),5/14 (36%),10/29 (34%)
12924418,9,13,55%,45%,45/78 (58%),33/78 (42%),18/36 (50%),18/36 (50%),8/14 (57%),5/15 (33%)
12924429,9,9,47%,53%,27/58 (47%),31/58 (53%),7/14 (50%),7/14 (50%),0/5 (0%),4/11 (36%)
12924410,12,4,38%,62%,28/69 (41%),41/69 (59%),7/22 (32%),15/22 (68%),7/11 (64%),16/24 (67%)
12924422,10,9,45%,55%,35/76 (46%),41/76 (54%),5/13 (38%),8/13 (62%),9/18 (50%),7/16 (44%)
12924424,12,18,51%,49%,40/76 (53%),36/76 (47%),9/21 (43%),12/21 (57%),9/17 (53%),8/12 (67%)
12924420,6,10,43%,57%,29/73 (40%),44/73 (60%),14/27 (52%),13/27 (48%),2/11 (18%),7/15 (47%)
12924411,10,10,43%,57%,33/76 (43%),43/76 (57%),13/31 (42%),18/31 (58%),1/7 (14%),14/26 (54%)
12924408,15,12,44%,56%,28/69 (41%),41/69 (59%),21/43 (49%),22/43 (51%),6/18 (33%),5/7 (71%)
12924419,6,8,56%,44%,30/50 (60%),20/50 (40%),15/30 (50%),15/30 (50%),3/5 (60%),10/22 (45%)
12924428,8,14,48%,52%,33/70 (47%),37/70 (53%),7/14 (50%),7/14 (50%),7/14 (50%),13/15 (87%)
12924430,8,12,46%,54%,35/74 (47%),39/74 (53%),11/25 (44%),14/25 (56%),8/16 (50%),11/18 (61%)
12924409,8,7,55%,45%,29/52 (56%),23/52 (44%),5/10 (50%),5/10 (50%),4/9 (44%),3/10 (30%)
12924431,5,9,54%,46%,36/62 (58%),26/62 (42%),13/29 (45%),16/29 (55%),6/10 (60%),5/14 (36%)
12924412,18,20,54%,46%,63/124 (51%),61/124 (49%),24/37 (65%),13/37 (35%),4/10 (40%),18/48 (38%)
12924414,7,8,51%,49%,36/66 (55%),30/66 (45%),14/32 (44%),18/32 (56%),9/11 (82%),11/22 (50%)
13010881,4,6,47%,53%,33/60 (55%),27/60 (45%),12/36 (33%),24/36 (67%),11/20 (55%),6/12 (50%)
13010887,8,2,51%,49%,34/69 (49%),35/69 (51%),17/31 (55%),14/31 (45%),12/18 (67%),13/21 (62%)
12527741,3,10,62%,38%,44/63 (70%),19/63 (30%),20/40 (50%),20/40 (50%),8/12 (67%),2/9 (22%)
12527866,10,11,53%,47%,47/90 (52%),43/90 (48%),35/64 (55%),29/64 (45%),4/11 (36%),5/16 (31%)
12527868,12,7,55%,45%,40/72 (56%),32/72 (44%),23/42 (55%),19/42 (45%),11/18 (61%),4/12 (33%)
12527870,10,9,54%,46%,43/71 (61%),28/71 (39%),20/45 (44%),25/45 (56%),8/15 (53%),3/17 (18%)
12527872,8,11,56%,44%,46/88 (52%),42/88 (48%),26/41 (63%),15/41 (37%),5/13 (38%),8/21 (38%)
12527873,5,6,58%,42%,38/61 (62%),23/61 (38%),15/30 (50%),15/30 (50%),4/7 (57%),6/15 (40%)
12527874,4,8,53%,47%,29/61 (48%),32/61 (52%),28/46 (61%),18/46 (39%),5/11 (45%),6/11 (55%)
12527867,5,9,50%,50%,30/64 (47%),34/64 (53%),16/28 (57%),12/28 (43%),4/12 (33%),11/17 (65%)
12527869,12,3,55%,45%,38/66 (58%),28/66 (42%),10/21 (48%),11/21 (52%),4/7 (57%),3/6 (50%)
12527871,2,9,54%,46%,26/52 (50%),26/52 (50%),17/28 (61%),11/28 (39%),4/9 (44%),8/11 (73%)
12451237,5,7,58%,42%,39/61 (64%),22/61 (36%),6/16 (38%),10/16 (63%),8/16 (50%),4/14 (29%)
12451239,6,13,59%,41%,48/80 (60%),32/80 (40%),28/49 (57%),21/49 (43%),11/20 (55%),7/13 (54%)
12451236,6,6,43%,57%,25/54 (46%),29/54 (54%),15/40 (38%),25/40 (63%),5/10 (50%),7/11 (64%)
12451241,9,13,59%,41%,39/66 (59%),27/66 (41%),36/62 (58%),26/62 (42%),12/15 (80%),9/12 (75%)
12451240,5,16,59%,41%,61/96 (64%),35/96 (36%),26/52 (50%),26/52 (50%),16/23 (70%),3/16 (19%)
12451242,11,10,62%,38%,46/82 (56%),36/82 (44%),27/36 (75%),9/36 (25%),8/13 (62%),11/21 (52%)
12451244,8,6,44%,56%,20/49 (41%),29/49 (59%),13/26 (50%),13/26 (50%),2/7 (29%),4/9 (44%)
12451245,4,13,57%,43%,43/75 (57%),32/75 (43%),13/24 (54%),11/24 (46%),10/13 (77%),12/24 (50%)
12615585,11,7,46%,54%,33/68 (49%),35/68 (51%),7/19 (37%),12/19 (63%),4/12 (33%),8/18 (44%)
12146527,2,6,54%,46%,32/62 (52%),30/62 (48%),13/22 (59%),9/22 (41%),2/11 (18%),4/10 (40%)
12146520,7,7,46%,54%,34/74 (46%),40/74 (54%),12/27 (44%),15/27 (56%),7/14 (50%),5/15 (33%)
12988222,4,5,44%,56%,22/43 (51%),21/43 (49%),2/12 (17%),10/12 (83%),2/7 (29%),0/3 (0%)
12146521,7,7,56%,44%,35/56 (63%),21/56 (38%),10/24 (42%),14/24 (58%),4/8 (50%),0/4 (0%)
13036742,9,4,45%,55%,30/66 (45%),36/66 (55%),16/37 (43%),21/37 (57%),1/8 (13%),6/12 (50%)
13031655,4,5,50%,50%,16/37 (43%),21/37 (57%),15/25 (60%),10/25 (40%),1/2 (50%),2/5 (40%)
13011717,8,3,54%,46%,27/49 (55%),22/49 (45%),10/20 (50%),10/20 (50%),6/10 (60%),6/12 (50%)
12902951,13,5,40%,60%,20/61 (33%),41/61 (67%),25/51 (49%),26/51 (51%),3/11 (27%),10/16 (63%)
13036931,17,3,48%,52%,26/65 (40%),39/65 (60%),24/39 (62%),15/39 (38%),3/7 (43%),8/17 (47%)
12769312,8,15,61%,39%,52/86 (60%),34/86 (40%),23/37 (62%),14/37 (38%),12/24 (50%),5/17 (29%)
12902952,13,12,51%,49%,45/85 (53%),40/85 (47%),20/42 (48%),22/42 (52%),7/15 (47%),11/22 (50%)
13015430,9,6,42%,58%,26/61 (43%),35/61 (57%),9/23 (39%),14/23 (61%),2/6 (33%),12/19 (63%)
13015432,7,6,52%,48%,25/48 (52%),23/48 (48%),20/38 (53%),18/38 (47%),5/10 (50%),4/9 (44%)
12744969,3,10,57%,43%,40/61 (66%),21/61 (34%),9/25 (36%),16/25 (64%),9/16 (56%),7/13 (54%)
12004432,2,2,42%,58%,22/48 (46%),26/48 (54%),9/26 (35%),17/26 (65%),7/17 (41%),8/15 (53%)
